title,url,discounted_price,original_price
5.0 Bluetooth Adapter Led Screen Wireless Audio Blue Tooth Transmitter Receiver,https://www.cigabuy.com/50-bluetooth-adapter-led-screen-wireless-audio-blue-tooth-transmitter-receiver-p-19470.html,€6.93,€16.11 
Yangmaile Gaming Keyboard Mechanical Feel G700 LED Rainbow Color Backlight Gamin,https://www.cigabuy.com/yangmaile-gaming-keyboard-mechanical-feel-g700-led-rainbow-color-backlight-gamin-p-19613.html,€6.58,€42.77 
USB Quick Charge 4 Port Fast Front Back Rear Seat Cars Charging Adapter,https://www.cigabuy.com/usb-quick-charge-4-port-fast-front-back-rear-seat-cars-charging-adapter-p-19476.html,€5.70,€11.19 
Waterproof Nylon Men Waist Pack Chest Bag Male Shoulder Messenger Bags,https://www.cigabuy.com/waterproof-nylon-men-waist-pack-chest-bag-male-shoulder-messenger-bags-p-19543.html,€5.00,€17.74 
Y113 TWS Earbuds Wireless Headphones Pro Bluetooth Sport Headset,https://www.cigabuy.com/y113-tws-earbuds-wireless-headphones-pro-bluetooth-sport-headset-p-19604.html,€5.53,€15.78 
Precision Screwdriver Set 50 In 1 Torx Bit Screw Driver Magnetic Bits Tools Kit,https://www.cigabuy.com/precision-screwdriver-set-50-in-1-torx-bit-screw-driver-magnetic-bits-tools-kit-p-20067.html,€8.68,€26.04 
Xiaomi Power bank 3 30000mAh PB3018ZM 3 USB Type C 18W Fast Charging,https://www.cigabuy.com/xiaomi-power-bank-3-30000mah-pb3018zm-3-usb-type-18w-fast-charging-p-19533.html,€28.66,€79.64 
B9 TWS 5.0 Bluetooth Earbud 8D Stereo Smart Touch Control Wireless Earphones,https://www.cigabuy.com/b9-tws-50-bluetooth-earbud-8d-stereo-smart-touch-control-wireless-earphones-p-19474.html,€7.39,€17.61 
USB Blackhead Remover Face Skin Care Deep Pore Cleaner Removal Vacuum Suction,https://www.cigabuy.com/usb-blackhead-remover-face-skin-care-deep-pore-cleaner-removal-vacuum-suction-p-19621.html,€4.13,€15.27 
BT01 Smart Watch Body IP68 Waterproof Heart Rate Fitness Tracker,https://www.cigabuy.com/bt01-smart-watch-body-ip68-waterproof-heart-rate-fitness-tracker-p-19466.html,€15.52,€19.06 
Sling Bag Polyhedron Chest Bag Waterproof Shoulder Bag Sports Chest Pack,https://www.cigabuy.com/sling-bag-polyhedron-chest-bag-waterproof-shoulder-bag-sports-chest-pack-p-19471.html,€5.18,€17.61 
WIFI 1080P Wireless CCTV Camera Surveillance Night Vision Baby Monitor,https://www.cigabuy.com/wifi-1080p-wireless-cctv-camera-surveillance-night-vision-baby-monitor-p-19580.html,€14.29,€46.03 
Electric Hand Wood Trimmer 6.35mm Laminator Router Woodworking Tool Set,https://www.cigabuy.com/electric-hand-wood-trimmer-635mm-laminator-router-woodworking-tool-set-p-19614.html,€13.77,€84.17 
LED Mosquito Killer Lamp LED Electronic Bug Zapper Energy,https://www.cigabuy.com/led-mosquito-killer-lamp-led-electronic-bug-zapper-energy-p-19629.html,€5.00,€17.61 
ZORO PAUL USB Charging 15 inch Laptop Backpack Men,https://www.cigabuy.com/zoro-paul-usb-charging-15-inch-laptop-backpack-men-p-19526.html,€10.61,€44.05 
Massager USB Charging Knee Pad Support Heated Keep Warm Soft Brace 3 Gears,https://www.cigabuy.com/massager-usb-charging-knee-pad-support-heated-keep-warm-soft-brace-3-gears-p-20153.html,€9.03,€28.75 
Bluetooth 5.0 Audio Receiver Transmitter AUX USB Wireless Adapters Speaker,https://www.cigabuy.com/bluetooth-50-audio-receiver-transmitter-aux-usb-wireless-adapters-speaker-p-20072.html,€3.25,€7.96 
Genuine Leather Man Messenger Bags Vintage Cow Leather Small Shoulder Bag,https://www.cigabuy.com/genuine-leather-man-messenger-bags-vintage-cow-leather-small-shoulder-bag-p-19539.html,€10.79,€39.46 
Xiaomi Mijia 10inch LCD Blackboard Writing Tablet with Pen Digital Drawing Pad,https://www.cigabuy.com/xiaomi-mijia-10inch-lcd-blackboard-writing-tablet-with-pen-digital-drawing-pad-p-18917.html,€9.02,€22.54 
QC3.0 Car charger Car Kit Handsfree Wireless Bluetooth FM Transmitter MP3 Player,https://www.cigabuy.com/qc30-car-charger-car-kit-handsfree-wireless-bluetooth-fm-transmitter-mp3-player-p-19546.html,€5.18,€14.87 
160cm Boxing Punching Bag Inflatable Tumbler Back Sandbag with Air Pump,https://www.cigabuy.com/160cm-boxing-punching-bag-inflatable-tumbler-back-sandbag-with-air-pump-p-19545.html,€7.28,€61.52 
Xiaomi Pinjing Men Electric Shaver Razor 3D USB Rechargeable Washable Razor,https://www.cigabuy.com/xiaomi-pinjing-men-electric-shaver-razor-3d-usb-rechargeable-washable-razor-p-20144.html,€14.47,€46.32 
W15 TWS Wireless Headphones Bluetooth 5.0 For Waterproof Earbuds,https://www.cigabuy.com/w15-tws-wireless-headphones-bluetooth-50-for-waterproof-earbuds-p-19536.html,€9.17,€17.61 
Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask,https://www.cigabuy.com/transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-17899.html,€0.79,€2.00 
Electric Rivet Nut Gun Riveting Tool Cordless Riveting Drill Insert Nut Tool,https://www.cigabuy.com/electric-rivet-nut-gun-riveting-tool-cordless-riveting-drill-insert-nut-tool-p-19524.html,€5.88,€17.77 
Wireless Bluetooth Earphone F9 Sports Earphone Gaming Headset LED Power Display,https://www.cigabuy.com/wireless-bluetooth-earphone-f9-sports-earphone-gaming-headset-led-power-display-p-19578.html,€8.16,€17.61 
Bluetooth 5.0 NFC Receiver Stereo Audio Music Support USB Disk TF Card,https://www.cigabuy.com/bluetooth-50-nfc-receiver-stereo-audio-music-support-usb-disk-tf-card-p-19586.html,€5.62,€16.53 
New Designer Leather Belt Men Vintage Pin Buckle Belt Soft Belt 120cm,https://www.cigabuy.com/new-designer-leather-belt-men-vintage-pin-buckle-belt-soft-belt-120cm-p-19585.html,€5.35,€17.61 
Gravity on-Board Bracket Dashboard Alloy Mobile Phone Navigation Bracket,https://www.cigabuy.com/gravity-on-board-bracket-dashboard-alloy-mobile-phone-navigation-bracket-p-19544.html,€3.60,€10.80 
Xiaomi Fun Home Portable Water Vacuum Cup 520ml Outdoor Travel Tea Water Mug,https://www.cigabuy.com/xiaomi-fun-home-portable-water-vacuum-cup-520ml-outdoor-travel-tea-water-mug-p-20075.html,€11.84,€38.63 
USB Wired Gaming Computer game Adjustable Optical Mice Gaming Mouse Ergonomic,https://www.cigabuy.com/usb-wired-gaming-computer-game-adjustable-optical-mice-gaming-mouse-ergonomic-p-19462.html,€4.09,€13.77 
LS Mini WiFi FPV with 0.3MP/5.0/4KMP HD Camera Altitude Hold Mode Foldable Drone,https://www.cigabuy.com/ls-mini-wifi-fpv-with-03mp504kmp-hd-camera-altitude-hold-mode-foldable-drone-p-18910.html,€22.21,€40.12 
Wild Man Hard Case Bike Bag Bike Front Beam Bag Tube Waterproof Phone Bag,https://www.cigabuy.com/wild-man-hard-case-bike-bag-bike-front-beam-bag-tube-waterproof-phone-bag-p-19598.html,€5.88,€17.61 
UV Light USB Mosquito Killer Lamp Electric Fly Mosquito Trap Anti Mosquito Bug,https://www.cigabuy.com/uv-light-usb-mosquito-killer-lamp-electric-fly-mosquito-trap-anti-mosquito-bug-p-20069.html,,
2M1080P Type-C to HDMI Cable USB Lightning Port Adapter Converter,https://www.cigabuy.com/2m1080p-type-to-hdmi-cable-usb-lightning-port-adapter-converter-p-19528.html,€10.26,€17.61 
Car Inverter Intelligent Digital Display Converter Truck Auto Socket Charger,https://www.cigabuy.com/car-inverter-intelligent-digital-display-converter-truck-auto-socket-charger-p-19553.html,,
Tigernu No Key Anti theft TSA Lock Backpacks 15.6inch USB Charging Mochila 18L,https://www.cigabuy.com/tigernu-no-key-anti-theft-tsa-lock-backpacks-156inch-usb-charging-mochila-18l-p-19455.html,€12.54,€60.31 
TWS Wireless Bluetooth 5.0 LED Display Mini Headphones Sports Earphones,https://www.cigabuy.com/tws-wireless-bluetooth-50-led-display-mini-headphones-sports-earphones-p-19639.html,€10.09,€17.61 
115 in 1 Screwdriver Set Multifunctional PC Phone Electronic Device Repair Tools,https://www.cigabuy.com/115-in-1-screwdriver-set-multifunctional-pc-phone-electronic-device-repair-tools-p-18925.html,€6.11,€19.92 
Men Wallets Retro Frosted PU Wallet Two Folding Male Purse Credit Card Holder,https://www.cigabuy.com/men-wallets-retro-frosted-pu-wallet-two-folding-male-purse-credit-card-holder-p-19637.html,€2.52,€8.10 
Electric Screwdriver precision Charging electric Drill bit Power Tools,https://www.cigabuy.com/electric-screwdriver-precision-charging-electric-drill-bit-power-tools-p-19005.html,€10.34,€57.08 
USB C to HDMI Adapter 4K Cable Type C HDMI for USB-C HDMI Adapter,https://www.cigabuy.com/usb-to-hdmi-adapter-4k-cable-type-hdmi-for-usb-hdmi-adapter-p-20073.html,€4.83,€10.93 
G9 E-Sports USB Cable Gaming Mouse 3200DPI Universal Macro Programming Mouse,https://www.cigabuy.com/g9-e-sports-usb-cable-gaming-mouse-3200dpi-universal-macro-programming-mouse-p-19529.html,€4.83,€16.32 
PU Men's Business Messenger Bag Zipper Hasp Design Open Handbags,https://www.cigabuy.com/pu-mens-business-messenger-bag-zipper-hasp-design-open-handbags-p-19616.html,€7.46,€44.25 
Men Waist Pack Waterproof Leg Bag Drop Messenger Shoulder Bags Belt Purse,https://www.cigabuy.com/men-waist-pack-waterproof-leg-bag-drop-messenger-shoulder-bags-belt-purse-p-20074.html,€10.09,€36.33 
TWS Bluetooth 5.0 Earphone True Wireless Earphones In-Ear Stereo Earbuds,https://www.cigabuy.com/tws-bluetooth-50-earphone-true-wireless-earphones-in-ear-stereo-earbuds-p-19473.html,€13.04,€37.78 
66 in 1 Screwdriver Sets Multifunctional Precision Hand Repair Tools,https://www.cigabuy.com/66-in-1-screwdriver-sets-multifunctional-precision-hand-repair-tools-p-19259.html,€6.41,€42.44 
"Cevapro Cycling Gloves, Touchscreen Winter Gloves Thicken Warm Gloves",https://www.cigabuy.com/cevapro-cycling-gloves-touchscreen-winter-gloves-thicken-warm-gloves-p-15269.html,€3.25,€16.69 
BD03 Bluetooth Speakers Portable Wireless Loudspeaker Sound Stereo,https://www.cigabuy.com/bd03-bluetooth-speakers-portable-wireless-loudspeaker-sound-stereo-p-19579.html,€8.68,€42.29 
8 in1 Digital LCD Car Tire Gauge Portable Car Tire Relief Valve Compass,https://www.cigabuy.com/8-in1-digital-lcd-car-tire-gauge-portable-car-tire-relief-valve-compass-p-19642.html,€6.93,€17.48 
TWS Wireless Bluetooth Headphones Stereo Waterproof Earphones With Mic Headset,https://www.cigabuy.com/tws-wireless-bluetooth-headphones-stereo-waterproof-earphones-with-mic-headset-p-19547.html,€12.54,€17.77 
Charging Car TPMS Tire Pressure Monitoring System HD Digital LCD Display,https://www.cigabuy.com/charging-car-tpms-tire-pressure-monitoring-system-hd-digital-lcd-display-p-19454.html,€44.96,€107.18 
Women Canvas Bucket Bags Solid Color Cross Body Bag Single-Shoulder Bag Handbag,https://www.cigabuy.com/women-canvas-bucket-bags-solid-color-cross-body-bag-single-shoulder-bag-handbag-p-15323.html,€0.95,€14.38 
H50 Smart Watch Blood Pressure Heart Rate Monitor IP67 Waterproof Bracelet,https://www.cigabuy.com/h50-smart-watch-blood-pressure-heart-rate-monitor-ip67-waterproof-bracelet-p-19464.html,€11.14,€16.82 
5.0 Wireless Headphones TWS LED Display 9D Stereo Sports Headphone,https://www.cigabuy.com/50-wireless-headphones-tws-led-display-9d-stereo-sports-headphone-p-19538.html,€11.84,€17.74 
Zeodo ZD5000 20W Mini Electric Grinder Set DIY USB 3.7V DC Variable Speed Rotary,https://www.cigabuy.com/zeodo-zd5000-20w-mini-electric-grinder-set-diy-usb-37v-dc-variable-speed-rotary-p-19218.html,€8.82,€25.46 
